DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,Phylum_counts multibar
FIELD_COLORS,#4b89b4,#bfd0e8,#ffa556,#ffcfa0,#4ea04e,#addfa3,#d65b5c,#ffb6b5,#a080bd,#c9bbd5,#8c665e,#c4a8a2,#e397cb,#f7c9dd,#7f7f7f,#c7c7c7,#bcbd50,#dbdba4,#4ec3cf,#b3dde5,#bdbdbd
FIELD_LABELS,Pseudomonadota,Bacillota,Actinomycetota,Bacteroidota,Chloroflexota,Spirochaetota,Verrucomicrobiota,Acidobacteriota,Thermotogota,Planctomycetota,Mycoplasmatota,Lentisphaerota,Ignavibacteriota,Myxococcota,Fusobacteriota,Armatimonadota,Thermodesulfobacteriota,Atribacterota,Balneolota,Calditrichota,Other
#=================================================================#
DATA
node_15757,27.500000000000004,2.5,10.0,0.0,25.0,0.0,2.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,7.5
node_15796,15.24822695035461,0.7092198581560284,69.14893617021278,0.3546099290780142,8.156028368794328,0.0,0.3546099290780142,0.3546099290780142,0.0,0.3546099290780142,0.0,0.0,0.0,0.7092198581560284,0.0,1.773049645390071,0.3546099290780142,0.0,0.0,0.0,2.4822695035460995
node_159,0.0,23.943661971830984,1.4084507042253522,0.0,7.042253521126761,8.450704225352112,2.8169014084507045,1.4084507042253522,0.0,12.676056338028168,0.0,26.76056338028169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.492957746478872
node_1602,6.666666666666667,53.333333333333336,0.0,20.0,6.666666666666667,6.666666666666667,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
node_16080,28.57142857142857,14.285714285714285,14.285714285714285,0.0,0.0,28.57142857142857,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
node_16086,33.33333333333333,0.0,16.666666666666664,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
node_16100,66.66666666666666,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
node_16111,27.906976744186046,2.3255813953488373,11.627906976744185,0.0,16.27906976744186,0.0,2.3255813953488373,13.953488372093023,0.0,13.953488372093023,0.0,2.3255813953488373,0.0,2.3255813953488373,0.0,2.3255813953488373,0.0,0.0,0.0,0.0,4.651162790697675
node_16153,10.714285714285714,14.285714285714285,0.0,3.571428571428571,28.57142857142857,3.571428571428571,0.0,3.571428571428571,0.0,7.142857142857142,0.0,3.571428571428571,0.0,3.571428571428571,0.0,7.142857142857142,0.0,0.0,0.0,0.0,14.285714285714285
node_1616,25.0,25.0,0.0,25.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5
