DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,Phylum_counts multibar
FIELD_COLORS,#4b89b4,#bfd0e8,#ffa556,#ffcfa0,#4ea04e,#addfa3,#d65b5c,#ffb6b5,#a080bd,#c9bbd5,#8c665e,#c4a8a2,#e397cb,#f7c9dd,#7f7f7f,#c7c7c7,#bcbd50,#dbdba4,#4ec3cf,#b3dde5,#bdbdbd
FIELD_LABELS,Pseudomonadota,Bacillota,Actinomycetota,Bacteroidota,Chloroflexota,Spirochaetota,Verrucomicrobiota,Acidobacteriota,Thermotogota,Planctomycetota,Mycoplasmatota,Lentisphaerota,Ignavibacteriota,Myxococcota,Fusobacteriota,Armatimonadota,Thermodesulfobacteriota,Atribacterota,Balneolota,Calditrichota,Other
#=================================================================#
DATA
node_17093,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_17095,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_1711,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
node_17187,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_17188,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_17191,50,22,0,1,42,2,8,6,0,0,0,0,0,1,0,0,0,1,0,0,16
node_17339,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
node_17348,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_17349,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_17354,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_1744,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_17471,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_17481,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
node_1749,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_17559,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_1756,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_17575,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_1759,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_1771,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
node_1782,12,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
node_17862,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_17897,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_17903,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_17908,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
